"dist_geo","pixel_num_1","pixel_num_2","pixel_1_ID","pixel_2_ID","combined","summary_pairwise","ID","type","p1","p2","region1","region2","region_pair","log_dist","Gst_standard"
"142",1012290.73851391,9,19,"3590","4821","3590_4821",0.0481,"Gst_3590_4821","Gst","3590",4821,"C","E","CE",13.827726378591,0.0505305179115453
"143",1182098.97882239,9,20,"3590","5026","3590_5026",0.0418,"Gst_3590_5026","Gst","3590",5026,"C","E","CE",13.9828022118707,0.0436234606553955
"144",1119642.9868938,9,21,"3590","5028","3590_5028",0.0262,"Gst_3590_5028","Gst","3590",5028,"C","E","CE",13.928520430754,0.0269049086054631
"145",33543.726493196,10,11,"3691","3692","3691_3692",0.0387,"Gst_3691_3692","Gst","3691",3692,"C","C","C",10.4206051351444,0.040257983980027
"146",226023.037756021,10,12,"3691","3896","3691_3896",0.0376,"Gst_3691_3896","Gst","3691",3896,"C","M","MC",12.3283922100327,0.0390689941812136
"147",199470.948014478,10,13,"3691","3897","3691_3897",0.0473,"Gst_3691_3897","Gst","3691",3897,"C","M","MC",12.2034238807203,0.0496483677967881
"148",257376.777277771,10,14,"3691","3898","3691_3898",0.0522,"Gst_3691_3898","Gst","3691",3898,"C","M","MC",12.458296349708,0.0550749103186326
"149",543689.524898072,10,15,"3691","4202","3691_4202",0.0415,"Gst_3691_4202","Gst","3691",4202,"C","E","CE",13.2061336366215,0.0432968179447053
"150",638628.145803913,10,16,"3691","4409","3691_4409",0.0434,"Gst_3691_4409","Gst","3691",4409,"C","E","CE",13.3670776325226,0.0453690152623876
"151",611301.502599746,10,17,"3691","4410","3691_4410",0.0397,"Gst_3691_4410","Gst","3691",4410,"C","E","CE",13.3233455740536,0.0413412475268145
"152",693819.12373318,10,18,"3691","4513","3691_4513",0.0419,"Gst_3691_4513","Gst","3691",4513,"C","E","CE",13.4499665768929,0.0437323870159691
"153",948586.984284653,10,19,"3691","4821","3691_4821",0.0414,"Gst_3691_4821","Gst","3691",4821,"C","E","CE",13.7627287713581,0.0431879824744419
"154",1117354.63056389,10,20,"3691","5026","3691_5026",0.0403,"Gst_3691_5026","Gst","3691",5026,"C","E","CE",13.9264745125015,0.0419922892570595
"155",1055936.11813287,10,21,"3691","5028","3691_5028",0.0271,"Gst_3691_5028","Gst","3691",5028,"C","E","CE",13.8699382472261,0.0278548668927947
"156",195681.443556742,11,12,"3692","3896","3692_3896",0.0268,"Gst_3692_3896","Gst","3692",3896,"C","M","MC",12.1842433280235,0.0275380189066995
"157",166370.500069027,11,13,"3692","3897","3692_3897",0.0411,"Gst_3692_3897","Gst","3692",3897,"C","M","MC",12.0219725084137,0.0428616122640526
"158",225423.721994299,11,14,"3692","3898","3692_3898",0.0367,"Gst_3692_3898","Gst","3692",3898,"C","M","MC",12.3257371190354,0.0380982040901069
"159",512170.261547705,11,15,"3692","4202","3692_4202",0.0271,"Gst_3692_4202","Gst","3692",4202,"C","E","CE",13.1464123908271,0.0278548668927947
"160",606223.098925432,11,16,"3692","4409","3692_4409",0.0362,"Gst_3692_4409","Gst","3692",4409,"C","E","CE",13.3150033473428,0.0375596596804316
"161",578932.615316551,11,17,"3692","4410","3692_4410",0.0335,"Gst_3692_4410","Gst","3692",4410,"C","E","CE",13.2689413686365,0.0346611484738748
"162",661288.138799681,11,18,"3692","4513","3692_4513",0.033,"Gst_3692_4513","Gst","3692",4513,"C","E","CE",13.4019449373151,0.0341261633919338
"163",915590.267721196,11,19,"3692","4821","3692_4821",0.0276,"Gst_3692_4821","Gst","3692",4821,"C","E","CE",13.7273242376039,0.0283833813245578
"164",1084685.81192014,11,20,"3692","5026","3692_5026",0.0385,"Gst_3692_5026","Gst","3692",5026,"C","E","CE",13.8968009287548,0.0400416016640666
"165",1022946.12793038,11,21,"3692","5028","3692_5028",0.0276,"Gst_3692_5028","Gst","3692",5028,"C","E","CE",13.8381973826775,0.0283833813245578
"166",60961.4908118819,12,13,"3896","3897","3896_3897",0.0413,"Gst_3896_3897","Gst","3896",3897,"M","M","M",11.017997645637,0.0430791697089809
"167",42492.5706022491,12,14,"3896","3898","3896_3898",0.0427,"Gst_3896_3898","Gst","3896",3898,"M","M","M",10.6570845302727,0.0446046171524078
"168",318590.458044643,12,15,"3896","4202","3896_4202",0.0265,"Gst_3896_4202","Gst","3896",4202,"M","E","ME",12.6716617263694,0.027221366204417
"169",416681.407065593,12,16,"3896","4409","3896_4409",0.037,"Gst_3896_4409","Gst","3896",4409,"M","E","ME",12.940077196942,0.0384215991692627
"170",389256.541310098,12,17,"3896","4410","3896_4410",0.0346,"Gst_3896_4410","Gst","3896",4410,"M","E","ME",12.8719938944622,0.0358400662937642
"171",472448.397055703,12,18,"3896","4513","3896_4513",0.0336,"Gst_3896_4513","Gst","3896",4513,"M","E","ME",13.0656838073713,0.0347682119205298
"172",730327.2111108,12,19,"3896","4821","3896_4821",0.0341,"Gst_3896_4821","Gst","3896",4821,"M","E","ME",13.5012479470959,0.0353038616834041
"173",896001.051123766,12,20,"3896","5026","3896_5026",0.0376,"Gst_3896_5026","Gst","3896",5026,"M","E","ME",13.7056968650856,0.0390689941812136
"174",837349.653293431,12,21,"3896","5028","3896_5028",0.0219,"Gst_3896_5028","Gst","3896",5028,"M","E","ME",13.6379970081104,0.0223903486351089
"175",66031.5991775472,13,14,"3897","3898","3897_3898",0.055,"Gst_3897_3898","Gst","3897",3898,"M","M","M",11.0978886818496,0.0582010582010582
"176",349837.358683862,13,15,"3897","4202","3897_4202",0.0443,"Gst_3897_4202","Gst","3897",4202,"M","E","ME",12.7652236359893,0.0463534581981793
"177",440778.752178289,13,16,"3897","4409","3897_4409",0.0398,"Gst_3897_4409","Gst","3897",4409,"M","E","ME",12.9962983327967,0.0414496979795876
